Bedrooms,Bathrooms,Area,Price,Location,Property Type,Compound
2,3,116,"7,393,000","New Cairo, Egypt",Apartment,Cleo 
2,3,142,"4,202,500","New Cairo, Egypt",Apartment,Palm Hills New Cairo
3,3,157,"4,530,000","New Cairo, Egypt",Apartment,Palm Hills New Cairo
2,3,171,"4,612,500","New Cairo, Egypt",Apartment,Palm Hills New Cairo
3,2,158,"4,612,500","New Cairo, Egypt",Apartment,Palm Hills New Cairo
2,3,175,"5,496,050","New Cairo, Egypt",Apartment,Palm Hills New Cairo
2,3,143,"6,355,000","New Cairo, Egypt",Apartment,Palm Hills New Cairo
3,3,173,"6,500,000","New Cairo, Egypt",Apartment,Palm Hills New Cairo
3,4,205,"6,700,000","New Cairo, Egypt",Apartment,Palm Hills New Cairo
3,3,174,"6,800,000","New Cairo, Egypt",Apartment,Palm Hills New Cairo
4,3,214,"6,805,000","New Cairo, Egypt",Apartment,Palm Hills New Cairo
2,3,149,"6,895,000","New Cairo, Egypt",Apartment,Palm Hills New Cairo
3,3,183,"7,414,850","New Cairo, Egypt",Apartment,Palm Hills New Cairo
2,3,116,"7,393,000","New Cairo, Egypt",Apartment,Cleo 
3,3,172,"9,055,500","New Cairo, Egypt",Apartment,Palm Hills New Cairo
1,1,72,"5,023,023","New Cairo, Egypt",Apartment,Cleo 
6,7,461,"54,204,000","New Cairo, Egypt",Villa,Palm Hills New Cairo
6,7,539,"66,640,000","New Cairo, Egypt",Villa,Palm Hills New Cairo
6,7,539,"66,645,000","New Cairo, Egypt",Villa,Palm Hills New Cairo
6,8,611,"73,974,000","New Cairo, Egypt",Villa,Palm Hills New Cairo
6,8,611,"75,027,000","New Cairo, Egypt",Villa,Palm Hills New Cairo
5,5,440,"23,500,000","New Cairo, Egypt",Villa,Palm Hills New Cairo
4,6,385,"24,334,700","New Cairo, Egypt",Villa,Palm Hills New Cairo
4,6,440,"25,000,000","New Cairo, Egypt",Villa,Palm Hills New Cairo
3,5,385,"25,900,000","New Cairo, Egypt",Villa,Palm Hills New Cairo
7,7,605,"40,000,000","New Cairo, Egypt",Villa,Palm Hills New Cairo
3,5,383,"13,841,600","New Cairo, Egypt",Twinhouse,Palm Hills New Cairo
3,5,296,"14,350,000","New Cairo, Egypt",Twinhouse,Palm Hills New Cairo
5,5,385,"14,657,500","New Cairo, Egypt",Twinhouse,Palm Hills New Cairo
3,4,300,"14,862,500","New Cairo, Egypt",Twinhouse,Palm Hills New Cairo
3,4,190,"19,835,000","New Cairo, Egypt",Townhouse,Palm Hills New Cairo
3,4,191,"21,517,000","New Cairo, Egypt",Townhouse,Palm Hills New Cairo
3,3,135,"7,584,822","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
3,3,135,"8,015,714","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
3,3,145,"8,219,763","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
3,3,130,"8,505,952","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
2,2,135,"5,215,631","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
3,3,165,"8,009,719","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
3,3,155,"8,009,719","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
3,3,220,"12,713,101","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
1,1,90,"3,682,000","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
3,3,165,"3,860,000","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
3,3,165,"4,000,000","New Cairo, Egypt",Apartment,Mountain View ICity New Cairo
